,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
14326,,,,"A copy of your safeguarding policy. If your organisation does not
    have one, please tell us briefly why","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,15,,0.44,&&&,,,,,,,,,,,
14329,,,,"Upload a document which provides brief bios of the Executive
    Director and the Leadership Team, (e.g., information pulled from
    your website, annual report, a document prepared for another
    foundation, etc.)",Biographical and Organizational info,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,17,,0.44,&&&,,,,,,,,,,,
14330,,,,"Please upload a document which summarizes your current programs and
    activities, e.g., a progress report prepared for another foundation,
    a Board summary memo, an annual report, a slide deck presentation",What the Organization Does,What the Organization Does,What the Organization Does,,18,,0.44,&&&,,,,,,,,,,,
14336,,,,"indicate if this proposal was reviewed as a draft by an <REDACTED>
  staff member",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,21,,0.44,&&&,,,,,,,,,,,
14337,,,,"Provide one reference. This person should have practical, current knowledge of the work under consideration, but not be a staff member",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,22,,0.44,&&&,,,,,,,,,,,
14340,,,,Primary person to contact within your organization should we have questions regarding this request,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,24,,0.44,&&&,,,,,,,,,,,
14341,,,,"Is the contact person listed above also the executive director of
    the organization","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,25,,0.44,&&&,,,,,,,,,,,
14342,,,,"Describe the organization's
administrative/management structure (for
example, is it more hierarchical or
horizontal)","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,26,,0.44,&&&,,,,,,,,,,,
14343,,,,"EXECUTIVE TEAM: Please describe the organizational structure of your
executive/leadership team","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,27,,0.44,&&&,,,,,,,,,,,
14344,,,,"Describe the professional background and experience of the chief staff officer and the chief financial officer. (Please do not attach or
include full resumes.)",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,28,,0.44,&&&,,,,,,,,,,,
14345,,,,"Describe the professional background and
experience",Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,29,,0.44,&&&,,,,,,,,,,,
14348,,,,List the Various Paid Staff Roles,Organizational Biographical and General Information,Organizational Biographical and General Information,Organizational Biographical and General Information,,31,,0.44,&&&,,,,,,,,,,,
14349,,,,"Please list your project partners/collaborators and their
    specific roles",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,32,,0.44,&&&,,,,,,,,,,,
14350,Is this request a collaborative effort? [Yes],,,Please submit a list of partners and roles using the template available on the main details page.,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,33,,0.44,&&&,,,,,,,,,,,
14351,"LIVING WITH A DISABILITY <REDACTED> understands that disability can be a physical, cognitive, sensory, mental health or other impairment that limits a major life activity._ _Please enter the number of people who identify as having a disability that is not described by the categories above. Use the description box below to specify the disability._",,,"DO NOT IDENTIFY AS LIVING WITH A DISABILITY

  UNKNOWN DISABILITY (I.E., YOU HAVE NOT COLLECTED THE INFORMATION)

  DISABILITY NOT DESCRIBED BY CATEGORIES ABOVE",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,34,,0.44,&&&,,,,,,,,,,,
14352,SEXUAL ORIENTATION DESCRIPTION _Please enter the number of people who identify as having a sexual orientation that is not described by the categories above. Use the description box below to specify the sexual orientation._,,,"HETEROSEXUAL OR STRAIGHT

  LESBIAN OR GAY

  BISEXUAL

  QUEER

  QUESTIONING

  UNKNOWN SEXUAL ORIENTATION (I.E., YOU DO NOT COLLECT THIS INFORMATION)

  SEXUAL ORIENTATION NOT DESCRIBED IN CATEGORIES ABOVE",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,35,,0.44,&&&,,,,,,,,,,,
14353,,,,"SEXUAL ORIENTATION (requires numeric input, not percentages)",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,36,,0.44,&&&,,,,,,,,,,,
14354,DEMOGRAPHIC INFORMATION,,,"Please complete the following information [using raw numbers, not percentages] for Board of Directors/Trustees",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,37,,0.44,&&&,,,,,,,,,,,
14357,,,,"PROVIDE INFORMATION ON THE DEMOGRAPHIC COMPOSITION (RACE/ETHNICITY,
GENDER, ETC.) OF YOUR ORGANIZATION'S BOARD",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,39,,0.44,&&&,,,,,,,,,,,
14360,,,,"DESCRIBE THE DEMOGRAPHICS OF THE POPULATION (RACE/ETHNICITY, GENDER, AGE, INCOME LEVEL, ETC.) AND GEOGRAPHIC REGION THAT ARE THE PRIMARY FOCUS OF THE GRANT REQUEST AS SPECIFICALLY AS POSSIBLE (PREFERABLY USING PERCENTAGES IF AVAILABLE)",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,41,,0.44,&&&,,,,,,,,,,,
14361,,,,"Is anyone excluded from services, employment or volunteer
        participation based on their age, ability, economic
        circumstance, education, race, criminal record, ethnicity,
        gender, gender identity or expression, sexual orientation",Internal policy and regulations,What the Organization Does,What the Organization Does,,42,,0.44,&&&,,,,,,,,,,,
14362,,,,"Do you survey students and/or staff on social emotional learning needs
and/or organizational culture and climate? What disaggregated survey
results, if any, might you be able to share","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,43,,0.44,&&&,,,,,,,,,,,
14363,"In addition to general questions about the organization applying for funds (address, application contact information, mission statement, etc.), the application for Flexible Support will ask respondents to detail the following:",,,"4.  POPULATION SERVED –

    a.  Tell us about the older adult population(s) the organization serves or intends to serve

    b.  Detail any demographic and geographic information, age, and  vulnerable population description

    c.  Describe the organization's connection to the stated population(s)

        i.  INFO/HELP BOX: Applications are strengthened by the inclusion of, and organizational connection to, underserved target populations (e.g., BIPOC, disabled, homeless, LGBTQ+, low-income, rural, vulnerable).",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,44,,0.44,&&&,,,,,,,,,,,
14367,BOARD MEMBERS,,,"If your website includes a list of board members and board officers, provide the web address/URL here. If your website does not include a list of board members and board officers, list the names of your current board members, and indicate board officers (for example, Chair, Secretary, etc.). Do not include board members’ business affiliations or other information.","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,46,,0.44,&&&,,,,,,,,,,,
14368,,,,"Upload a document which lists the members of your Board (first and
    last name), their role on the Board, and their city and state
    of residence","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,47,,0.44,&&&,,,,,,,,,,,
14369,<REDACTED> currently defines BIPOC-led groups as those for whom at least three of the following are true.,,,"Please check any of the following criteria that apply to your organization:

50 percent of senior staff are BIPOC-identified
50 percent of board members are BIPOC-identified
Organization has BIPOC leadership (executive/senior level) and is implementing DEI initiatives and/or navigating organizational transition for greater equity in programming/oper
Group mission explicitly focuses on BIPOC communities
Project and/or initiative is being led by a majority of BIPOC-group members",Demographic/Orientation/Status,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,48,,0.44,&&&,,,,,,,,,,,
14378,General Operating Support,,,"RACE     NUMBER IN BOARD     PERCENTAGE OF BOARD
  -------- ------------------- -----------------------

    American Indian/Native American         
  ----------------------------------- ----- --------
    Asian American/Pacific Islander         
    Black/African American                  
    White                                   
    Latino                                  
    Two or More                             
    TOTAL                               0     100%",Demographic/Orientation/Status,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,51,,0.44,&&&,,,,,,,,,,,
14382,"IMMIGRANT AND REFUGEE IDENTITY: Are any executives on your team a first or second generation immigrant to the United States? The first generation refers to those who are born internationally. The second generation refers to those with at least one parent born internationally. (Select all that apply for each team member, using numbers to indicate how many executives identify in each category):",,,"-   First Generation

-   Second Generation

-   Other relevant lived experience with immigration or forced migration

-   No

-   Prefer Not to Answer

-   Prefer to Self-Describe (field provided below)",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,53,,0.44,&&&,,,,,,,,,,,
14383,,,,Other relevant lived experience with immigration or forced migration,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,54,,0.44,&&&,,,,,,,,,,,
14389,MISSION ALIGNMENT:,,,"Please provide a brief description explaining how your organization is committed to ensuring immigrant and refugee workers have access to good jobs, can achieve their career goals, and are participating in inclusive and equitable economies and workforce.",What the Organization Does,What the Organization Does,What the Organization Does,,57,,0.44,&&&,,,,,,,,,,,
14390,,,,"The Trust's vision is a thriving, equitable and connected <REDACTED>
    region where people of all races, places and identities have the
    opportunity to reach their potential. Please describe how your
    organization's mission, activities, and outcomes contribute to
    that vision",What the Organization Does,What the Organization Does,What the Organization Does,,58,,0.44,&&&,,,,,,,,,,,
14393,,,,Is the Project a Strategic Organizational Priority,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,60,,0.44,&&&,,,,,,,,,,,
14394,,,,"What is the proposed solution to the priority area you selected
    above",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,61,,0.44,&&&,,,,,,,,,,,
14395,,,,"Are There Any Areas that Could Prevent Your Full Commitment (ie, Budget, Staff, Leadership Support, Competing Priorities, Time)?",What the Organization Does,What the Organization Does,What the Organization Does,,62,,0.44,&&&,,,,,,,,,,,
14398,"DEI Information In order to further the <REDACTED> Foundation's mission to improve the quality of life for present and future generations, it is imperative that we address disparities inequities within our organization and through our work in communities. Towards this end, we have made an organizational commitment to diversity, equity, and inclusion. We see an ongoing need to gather information and invite a conversation with our applicants and grantees that explores the following questions:",,,What and whom are we missing?,Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,64,,0.44,&&&,,,,,,,,,,,
14401,PROJECT NARRATIVE,,,What partnerships are central to the implementation of this grant?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,66,,0.44,&&&,,,,,,,,,,,
14402,,,,"Who are the other strategic partners or team members and what is their
role in the project",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,67,,0.44,&&&,,,,,,,,,,,
14403,,,,"PLEASE LIST AND DESCRIBE THE EXISTING AND PROSPECTIVE PARTNERSHIPS THAT
WILL SUPPORT THE ORGANIZATION AND THE ARTIST(S) IN CARRYING OUT THIS
PROJECT",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,68,,0.44,&&&,,,,,,,,,,,
14407,,,,"PARTNERS: WHAT PARTNERS, SUCH AS ORGANIZATIONS, INDIVIDUALS, AND COALITIONS, ARE CORE TO YOUR WORK",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,70,,0.44,&&&,,,,,,,,,,,
14408,Measuring Impact here Organizational Capacity.,"Briefly describe how your senior leadership carries out its responsibilities for financial and programmatic oversight and fundraising in partnership with the board. Please share how your organization has grown or scaled down in recent years (e.g. key staff hires, infrastructure changes), and/or how you plan to grow or change in future years? Please also use this space to provide additional narrative to your organizational chart (if provided).",,Who are your key lay and professional leaders?,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,71,,0.44,&&&,,,,,,,,,,,
14409,,,,"Please provide the name(s) and title(s) of key personnel responsible for this
project",Requested Grant Funding Related,Organizational Biographical and General Information,Organizational Biographical and General Information,,72,,0.44,&&&,,,,,,,,,,,
14410,,,,What Key Performance Indicators (KPIs) Are Associated with Your Strategic Goals,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,73,,0.44,&&&,,,,,,,,,,,
14411,,,,"What are the main activities and/or services that the charity
provides",What the Organization Does,What the Organization Does,What the Organization Does,,74,,0.44,&&&,,,,,,,,,,,
14412,,,,"What are the main activities and/or services that the charity provides? 
How often (weekly/monthly)? 
On what day(s) of the week?
At what time(s)?
At which location(s)?",What the Organization Does,What the Organization Does,What the Organization Does,,75,,0.44,&&&,,,,,,,,,,,
14413,,,,"Where and when do main activities take
place",What the Organization Does,What the Organization Does,What the Organization Does,,76,,0.44,&&&,,,,,,,,,,,
14414,,,,Describe the specific activities for which you seek funding and who will carry out the activities.,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,77,,0.44,&&&,,,,,,,,,,,
14415,,,,"PLANNED ACTIVITIES | WHAT ARE SOME SPECIFIC EXAMPLES OF ACTIVITIES YOU
PLAN TO DO IN THE PROPOSED GRANT PERIOD",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,78,,0.44,&&&,,,,,,,,,,,
14420,,,,Please select where the majority of your grant activities will take place,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,81,,0.44,&&&,,,,,,,,,,,
14421,,,,Upload your Activities and Milestones Chart,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,82,,0.44,&&&,,,,,,,,,,,
14422,,,,List Your Milestones for Yearly Fundraising and Impact,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,83,,0.44,&&&,,,,,,,,,,,
14423,,,,"What
      will be your major activities and your general timeline for
      executing the program",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,84,,0.44,&&&,,,,,,,,,,,
14424,,,,"Results from recent SEL and climate/culture surveys for students
      and/or staff (disaggregated preferred)","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,85,,0.44,&&&,,,,,,,,,,,
14425,,,,"To serve as your final report,
  would you like to complete a final report, or have a conversation with
  a <REDACTED> staff member",Miscellaneous,Miscellaneous,Miscellaneous,,86,,0.44,&&&,,,,,,,,,,,
14426,,"Please discuss any project adjustments and shifts in scope, assumptions, timing, decisions etc. which will affect spending. If you had previous discussions with the foundation on changes, please mention.",,"How have your projections for the remaining periods changed compared to your previous projections (from your most recent progress report, or original proposal if this is the first report) and why?",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,87,,0.44,&&&,,,,,,,,,,,
14427,Foundation Funding Amount (USD),,,Has the amount changed since the proposal or last report?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,88,,0.44,&&&,,,,,,,,,,,
14430,Measuring Impact.,"This may be from survey results, impact studies, external evaluations, internal performance measures, etc. If your organization has one, please describe your process for learning from what has and has not worked.",,"Looking back on recent years, what are the biggest quantitative and/or qualitative successes you want to share?",biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,90,,0.44,&&&,,,,,,,,,,,
14433,,"Please include details of any material changes which may be likely within the next six months which may affect a grant, for example changes in key staff or loss of strategic funding, and how you plan to address them. Please provide an explanation if there have been any changes in the requested amount or the work from your first stage application.",,Any changes?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,92,,0.44,&&&,,,,,,,,,,,
14434,,,,"Have there recently been, or do you anticipate, any organizational or
leadership changes",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,93,,0.44,&&&,,,,,,,,,,,
14435,"APPLICATION DOCUMENTS Organization Documents If you have provided these documents on your organization profile, the attachments below are the same.","If so, please upload. If you are uploading a newer version of a previously uploaded file, hover your mouse next to the document and click on the 'Add New Version of Document' icon to upload an updated file.",,Do you have any updated versions of these items?,Miscellaneous,Miscellaneous,Miscellaneous,,94,,0.44,&&&,,,,,,,,,,,
14436,,,,"Your Organization profile was last updated on (review the date indicated)
Is this current",biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,95,,0.44,&&&,,,,,,,,,,,
14437,USER PROFILE ACCURACY,,,Please confirm your user profile is up-to-date and reflects accurate profile information.,biographical and Organizational info,biographical and Organizational info,Organizational Biographical and General Information,,96,,0.44,&&&,,,,,,,,,,,
14438,GuideStar Seal of Transparency,,,"Please note your organization's current GuideStar Seal of Transparency. For information on the benefits of updating your profile, visit GuideStar.

Bronze
Silver
Gold
Platinum
We had a Seal but have let it lapse. We intend to update it soon. 
None yet, but we plan to achieve at least Silver in the next 6 months.
None, and we aren't sure how to achieve a Seal.",What the Organization Does,What the Organization Does,What the Organization Does,,97,,0.44,&&&,,,,,,,,,,,
14443,,,,List Your technology Portfolio,What the Organization Does,What the Organization Does,What the Organization Does,,100,,0.44,&&&,,,,,,,,,,,
14444,,,,Describe Your Revenue Model,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,101,,0.44,&&&,,,,,,,,,,,
14449,,,,Describe Your Current IT Needs or Proposed Project/Initiative,"data handling, overview, and reporting","data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,104,,0.44,&&&,,,,,,,,,,,
14450,,,,"Describe the impact/outcomes of your program/project on
        the community",Requested Grant Funding Related,What the Organization Does,What the Organization Does,,105,,0.44,&&&,,,,,,,,,,,
14451,,,,State the purpose of your proposal/request in no more than two sentences,Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,106,,0.44,&&&,,,,,,,,,,,
14452,,,,WHAT ARE YOUR SELECTION CRITERIA,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,107,,0.44,&&&,,,,,,,,,,,
14453,,,,"What is your target
population",What the Organization Does,What the Organization Does,What the Organization Does,,108,,0.44,&&&,,,,,,,,,,,
14454,,,,Please indicate which community your project/program primarily serves,What the Organization Does,What the Organization Does,What the Organization Does,,109,,0.44,&&&,,,,,,,,,,,
14455,,,,Which of the following categories best describes your project/program?,Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,110,,0.44,&&&,,,,,,,,,,,
14456,,,,Describe current project/program area(s),What the Organization Does,What the Organization Does,What the Organization Does,,111,,0.44,&&&,,,,,,,,,,,
14460,,,,What difference do you make,What the Organization Does,What the Organization Does,What the Organization Does,,113,,0.44,&&&,,,,,,,,,,,
14461,,,,"Who are the people you support and
what are their needs",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,114,,0.44,&&&,,,,,,,,,,,
14462,,,,Who do you serve? Who needs your product or service and why,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,115,,0.44,&&&,,,,,,,,,,,
14463,,,,What Geographies Do You Serve,What the Organization Does,What the Organization Does,What the Organization Does,,116,,0.44,&&&,,,,,,,,,,,
14469,,,,Describe the Devices and Operating System Endpoints of Your Associates and Beneficiaries,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,119,,0.44,&&&,,,,,,,,,,,
14470,,,,"Numbers, Age Range and Details on Beneficiaries",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,120,,0.44,&&&,,,,,,,,,,,
14471,,,,Languages Spoken by Your Organization and Beneficiaries,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,121,,0.44,&&&,,,,,,,,,,,
14483,Application Completion,,,"Approximately how many hours of staff time were spent gathering information for the application? Completing this application? Please _DO NOT_ include time spent planning the project or program.

  Do you have suggestions for streamlining the process?",Miscellaneous,Miscellaneous,Miscellaneous,,127,,0.44,&&&,,,,,,,,,,,
14486,,,,How many hours per week are interns expected to work,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,129,,0.44,&&&,,,,,,,,,,,
14487,,,,What is the nature of the interns' compensation,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,130,,0.44,&&&,,,,,,,,,,,
14488,,,,How many people do you anticipate this project/program will serve annually,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,131,,0.44,&&&,,,,,,,,,,,
14489,,,,"What percentage of the number served will be residents of the following counties? If you don't expect to serve any clients in a county, enter 0%.",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,132,,0.44,&&&,,,,,,,,,,,
14490,Poverty,,,"What percentage of clients served by this project are experiencing
  poverty? 

Describe YOUR definition of poverty.",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,133,,0.44,&&&,,,,,,,,,,,
14491,Project Outcomes 6.9 million additional adults will need credentials to reach <REDACTED> Goal.,,,"Which population of students will this work target?
 
Adults with Some College
No Degree
Adults with No Recognized Postsecondary Education or Training
Traditional Aged Students",Demographic/Orientation/Status,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,134,,0.44,&&&,,,,,,,,,,,
14494,,,,Please describe the main challenges and/or successes of sex workers in your context (no more than two of each),Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,136,,0.44,&&&,,,,,,,,,,,
14497,,,,"Are more than 50% of the population served by your organization:

Black
People of Color
Neither
Prefer not to say",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,138,,0.44,&&&,,,,,,,,,,,
14500,,,,"How are you connected to the population you intend on serving and how
  is the proposed scope guided by that population? In other words, how
  do you know the community wants this service",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,140,,0.44,&&&,,,,,,,,,,,
14501,,,,Given the population you serve is the leadership of your organization reflective of who you serve?,Biographical and Organizational info,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,141,,0.44,&&&,,,,,,,,,,,
14506,Advocacy,,,"How does your agency define advocacy?

What, if any, advocacy efforts are you engaged in on behalf of the population you serve?",What the Organization Does,What the Organization Does,What the Organization Does,,144,,0.44,&&&,,,,,,,,,,,
14507,,,,"Does your organization primarily: (select all that apply)

  Provide direct services

  Conduct policy and advocacy efforts",Organizational Biographical and General Information,What the Organization Does,What the Organization Does,,145,,0.44,&&&,,,,,,,,,,,
14510,DESCRIPTION OF COMMUNITY SERVED,,,"1.  Will your project primarily:

    -   Provide direct services? If so, how many individuals do you anticipate your project will serve?

-   Conduct policy and advocacy efforts? If so, in what areas? Please check all that apply.",What the Organization Does,What the Organization Does,What the Organization Does,,147,,0.44,&&&,,,,,,,,,,,
14511,,,X,"Please describe the people/animals that will be served by
    your project. If you have selected a targeted group of
    beneficiaries, please also tell us how you selected those who will
    participate in or benefit from the project",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,148,,0.44,&&&,,,,,,,,,,,
14512,,,,"Please tell us more about the communities and people that benefit
    from your work, such as information about race and ethnicity
    identities, gender identity, or socioeconomic status. If you are
    requesting funds for a specific initiative, please provide data on
    the people you expect to serve with that initiative. Otherwise,
    please provide data on the people your organization serves in
    a year. Please share estimated percentages of the total number of
    people who will benefit or be served, if available, and/or a
    qualitative description",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,149,,0.44,&&&,,,,,,,,,,,
14513,,,,"Please tell us how many people benefit from your work and tell
us if this is per day, week, month or year",What the Organization Does,What the Organization Does,What the Organization Does,,150,,0.44,&&&,,,,,,,,,,,
14514,,,,"With regard to the work that would be supported under this grant: to your knowledge, do you receive financial or in-kind support from any individuals or organizations which, as a material part of their activities, manufacture, distribute, or sell alcohol, tobacco, cannabis, firearms products of any kind, or foods of minimal nutritional value?","Organizational Budgeting, Revenue Practices, and Forecasts

","Organizational Budgeting, Revenue Practices, and Forecasts

","Organizational Budgeting, Revenue Practices, and Forecasts

",,151,,0.44,&&&,,,,,,,,,,,
14534,,,,"What forms of diversity (gender, cultural, religious,
    immigrant/refugee background, linguistic, etc.) do you think are
    important for strengthening the proposed solution and why? Does your
    organization's staff and governance reflect this diversity",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,160,,0.44,&&&,,,,,,,,,,,
14547,,,,"the people and communities you are working with
    (demographics, their strengths, and their concerns)",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,166,,0.44,&&&,,,,,,,,,,,
14565,,,,"AND HOW HAS COVID-19 IMPACTED, EXACERBATED OR CREATED THIS CHALLENGE FOR YOUR COMMUNITY SERVED OR WITHIN YOUR PROGRAMMATIC WORK",How has COVID-19 impacted your work,How has COVID-19 impacted your work,How has COVID-19 impacted your work,,174,,0.44,&&&,,,,,,,,,,,
14569,,,,"How was the focus determined and who was involved in that
    decision-making process",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,176,,0.44,&&&,,,,,,,,,,,
14572,,,,"Describe board leadership, involvement and capacity in the project","Corporate Delegation, and Oversight","Corporate Delegation, and Oversight","Corporate Delegation and Oversight, Organizational structure",,178,,0.44,&&&,,,,,,,,,,,
