,left_context,right_context,value,Area,Theme Converted Areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,,
14334,,,"Key staff members and qualifications or an organization chart
Complete Audit (if available, include auditors notes and management letter, if issued)",Biographical and Organizational info,Organizational Biographical and General Information,,20,,0.44,,,,,,,
14335,,,Key staff members and qualifications or an organization chart,Biographical and Organizational info,Organizational Biographical and General Information,,20,,0.44,,,,,,,
,,,,Biographical and Organizational info,Organizational Biographical and General Information,,,,,,,,,,,
,,,,Biographical and Organizational info,Organizational Biographical and General Information,,,,,,,,,,,
14346,,,Describe the roles and qualifications of key personnel,Biographical and Organizational info,Organizational Biographical and General Information,,30,,0.44,,,,,,,
14347,Responsible Staff,,"Please describe the full-time/part-time roles involved in the project
  and specifics about the staff responsible, including unique
  qualifications and whether demographics correspond to the population served.",Biographical and Organizational info,Organizational Biographical and General Information,,30,,0.44,,,,,,,
14355,,,"If your organization collects demographic data, please enter the number of individuals of each
race/ethnicity for each role in the chart below to give us a sense of your organization's racial
and ethnic diversity",Biographical and Organizational info,Organizational Biographical and General Information,,38,,0.44,,,,,,,
14356,,,"If your organization collects demographic data, please enter the
    number of individuals of each race/ethnicity for each role in the
    chart below to give us a sense of your organization’s racial and
    ethnic diversity",Biographical and Organizational info,Organizational Biographical and General Information,,38,,0.44,,,,,,,
14358,,,Demographics Form- Please attach the demographic form,Biographical and Organizational info,Organizational Biographical and General Information,,40,,0.44,,,,,,,
14359,,,Please complete and upload the Leadership Demographics worksheet,Biographical and Organizational info,Organizational Biographical and General Information,,40,,0.44,,,,,,,
14364,,,"If you prefer to share qualitative insights into your Board of Directors’ / Advisory Board’s background and personal alignment with the issue areas, please feel free to do so here. For example, are there other forms of identity that are most relevant and important for us to
know? Do any members of your Board of Directors / Advisory Board share the same background, belong to the communities you serve, or have significant experience with the issues you seek to solve?",Biographical and Organizational info,Organizational Biographical and General Information,,45,,0.44,,,,,,,
14365,,,"Please share any qualitative insights into your staff members' background and personal alignment with the issue areas. For example, are there forms of identity that are most relevant and important for us to know? Do any members of your staff, in particular program / project team members, share the same background, belong to the communities you serve, or have significant experience with the issues you seek to solve?",Biographical and Organizational info,Organizational Biographical and General Information,,45,,0.44,,,,,,,
14366,LEADERSHIP IDENTITY,,"Please share with us some information about your organization's
leadership. We have listed some demographic identities for your use in
telling us about how your executive team and board of directors /
advisory board identify. If you prefer to share qualitative insights, we
also invite you to tell us about the ways in which members of your
organization self-identify in the narrative questions in each section.",Biographical and Organizational info,Organizational Biographical and General Information,,45,,0.44,,,,,,,
14370,BOARD OF DIRECTORS / ADVISORY BOARD,,"How many of your board members publicly self-identify as (select all that apply for each board member, using numbers to indicate how many board members identify in each category):

-   Transgender (gender assigned at birth was not consistent with my
    gender identity)

-   Cisgender (gender assigned at birth was consistent with my
    gender identity)

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",Biographical and Organizational info,Organizational Biographical and General Information,,49,,0.44,,,,,,,
14371,BOARD OF DIRECTORS / ADVISORY BOARD,,"How many of your board members publicly self-identify as (select all that apply for each board member, using numbers to indicate how many board members identify in each category):

-   Transgender (gender assigned at birth was not consistent with my
    gender identity)

-   Cisgender (gender assigned at birth was consistent with my
    gender identity)

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",Biographical and Organizational info,Organizational Biographical and General Information,,49,,0.44,,,,,,,
14372,GENDER,,"How many of your board of directors / advisory board publicly
self-identify as (select all that apply for each board member, using
numbers to indicate how many board members identify in each category):

-   Female  

-   Male  

-   Non-binary  

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",Biographical and Organizational info,Organizational Biographical and General Information,,49,,0.44,,,,,,,
14373,TRANSGENDER/CISGENDER:,,"How many of your executive team members publicly self-identify as (select all that apply for each team member, using numbers to indicate how many executives identify in each category):

-   Transgender (gender assigned at birth was not consistent with my
    gender identity)

-   Cisgender (gender assigned at birth was consistent with my
    gender identity)

-   Prefer Not to Answer

-   Prefer to Self-Describe (field provided below)",Biographical and Organizational info,Organizational Biographical and General Information,,49,,0.44,,,,,,,
14374,,,"Use the following percentage fields to describe the race and ethnicity composition of your organization's current Board of Directors:

  * American Indian or Alaska Native

  * Asian

  * Black or African American

  * Hispanic or Latino

  * Native Hawaiian or Other Pacific Islander

  * White, non-Hispanic

  * Other",Biographical and Organizational info,Organizational Biographical and General Information,,50,,0.44,,,,,,,
14375,"ORGANIZATION DEMOGRAPHIC INFORMATION WHEN SUBMITTING DEMOGRAPHIC INFORMATION PLEASE BE SURE TO FILL OUT ALL FIELDS. ENTER ""0"" FOR PERCENTAGE FIELDS THAT DO NOT APPLY TO YOUR ORGANIZATION, ALL FIELDS SHOULD TOTAL 100%.",,"-   Use the following percentage fields to describe the race and
    ethnicity composition of your organization's current Board of
    Directors:

  * American Indian or Alaska Native

  * Asian

  * Black or African American

  * Hispanic or Latino

  * Native Hawaiian or Other Pacific Islander

  * White, non-Hispanic

  * Other",Biographical and Organizational info,Organizational Biographical and General Information,,50,,0.44,,,,,,,
14376,,,"Use the following percentage fields to describe the race and
    ethnicity composition of your organization's current Leadership
    Team",Biographical and Organizational info,Organizational Biographical and General Information,,50,,0.44,,,,,,,
14377,,,"Use the following percentage fields to describe the race and
    ethnicity composition of your organization's current Board of
    Directors",Biographical and Organizational info,Organizational Biographical and General Information,,50,,0.44,,,,,,,
14379,,,"Total # of staff who identify as BIPOC (Black, Indigenous, and People of Color)",Biographical and Organizational info,Organizational Biographical and General Information,,52,,0.44,,,,,,,
14380,,,"Total # of Board of Directors who identify as BIPOC (Black, Indigenous, and People
of Color",Biographical and Organizational info,Organizational Biographical and General Information,,52,,0.44,,,,,,,
14381,,,"Total # of organizational leaders who identify as BIPOC (Black, Indigenous, and
People of Color)",Biographical and Organizational info,Organizational Biographical and General Information,,52,,0.44,,,,,,,
14384,,,"IMMIGRANT AND REFUGEE IDENTITY: Are any executives on your team a first
or second generation immigrant to the United States",Biographical and Organizational info,Organizational Biographical and General Information,,55,,0.44,,,,,,,
14385,,,"IMMIGRANT AND REFUGEE IDENTITY: How many of your board of directors /
advisory board are first or second generation immigrants to the United
States",Biographical and Organizational info,Organizational Biographical and General Information,,55,,0.44,,,,,,,
14484,,,"How many full-time paid staff do you
employ",Biographical and Organizational info,Organizational Biographical and General Information,,128,,0.44,,,,,,,
14485,,,"How many part-time paid staff do you
employ",Biographical and Organizational info,Organizational Biographical and General Information,,128,,0.44,,,,,,,
14493,,,What percentage of people involved in decision making are current or former sex workers? Include paid and voluntary positions,Biographical and Organizational info,Organizational Biographical and General Information,,135,,0.44,,,,,,,
14492,,,What percentage of people that are staff members are current or former sex workers? Include paid and voluntary positions,Biographical and Organizational info,Organizational Biographical and General Information,,135,,0.44,,,,,,,
14556,_Constituency_,,"Please tell us about your constituency: your membership, your community members, the people with whom you work and the people you represent. (Be specific about demographics such as race, class, gender, ethnicity, age, sexual orientation and ability-status.)",Partnership and Community,Collaborative Partnerships and Community Support,,170,,0.44,,,,,,,
14557,,,"ORGANIZATION DEMOGRAPHICS: HOW ARE THE DEMOGRAPHICS AND LIVED EXPERIENCE OF THE COMMUNITY YOU SERVE REFLECTED IN THE COMPOSITION OF YOUR BOARD, STAFF AND VOLUNTEERS? PLEASE ALSO DESCRIBE ANY DIVERSITY, EQUITY AND INCLUSION (DEI) PRACTICES, PROGRAMS, OR INITIATIVES IN WHICH YOUR ORGANIZATION IS CURRENTLY ENGAGED",Biographical and Organizational info,Organizational Biographical and General Information,,171,,0.44,,,,,,,
14558,,,"Please describe your staff structure (staff, peer educators, outreach coordinators, community leaders, meeting coordinators, etc.). If your organisation does not have staff members, please describe how day-to-day tasks are implemented",Biographical and Organizational info,Organizational Biographical and General Information,,171,,0.44,,,,,,,
14386,,,"IF APPLICABLE, PLEASE PROVIDE A BRIEF EXPLANATION FURTHER DESCRIBING HOW YOUR LEADERSHIP TEAM AND STAFF REFLECT THE COMMUNITIES YOU SERVE, AND IN PARTICULAR BRING LIVED EXPERIENCE FROM IMMIGRANT AND REFUGEE COMMUNITIES AND COMMUNITIES OF COLOR.",Biographical and Organizational info,Organizational Biographical and General Information,,56,,0.44,"Please tell us about us more about your organization in terms the following:
*Community representation via leadership/staff
*Lived experience with served communities (e.g., advocacy/background in community/prior professional service)",,,,,,
14387,,,"IF APPLICABLE, PLEASE PROVIDE A BRIEF EXPLANATION FURTHER DESCRIBING HOW YOUR LEADERSHIP TEAM AND STAFF REFLECT THE COMMUNITIES YOU SERVE, AND IN PARTICULAR BRING LIVED EXPERIENCE FROM IMMIGRANT AND REFUGEE COMMUNITIES AND COMMUNITIES OF COLOR.",Biographical and Organizational info,Organizational Biographical and General Information,,56,,0.44,,,,,,,
14388,,,"LIVED EXPERIENCE:_ Organizations with leadership and staff who
    reflect the communities they serve and that have lived experience
    from immigrant and refugee communities and communities of color are
    particularly encouraged to apply. Please indicate if your leadership
    team and staff share the same background, belong to the community
    being served, or have significant experience with the issues you
    seek to solve",Biographical and Organizational info,Organizational Biographical and General Information,,56,,0.44,,,,,,,
14391,,,"Which of the Racial and Economic Justice guidelines aligns most with the proposed work?

-   _Sustain or strengthen the core operations of the organization_

-   _Advance structural and systems change through policy advocacy, organizing, and movement building._
                                                                                                               
 -   _Invest in economic systems and practices that build wealth and stabilize communities._
                                                                                                               
 -   _Advance narrative strategies focused on racial and economic justice._",What You Do,What the Organization Does,,59,,0.44,"Provide details on the following:
*Which of our Racial and Economic Justice guidelines most closely relate to the proposed work
*Which of our priority groups does the work you are asking for
*Specific Foundation Members you have previously spoken with (include information on the general nature of the discussions and when they took place)",,,,,,
14392,,,Which of the Racial and Economic Justice guidelines aligns most with the proposed work,What You Do,What the Organization Does,,59,,0.44,,,,,,,
14396,,,Which of our priority groups does the work you are asking us to fund focus on?,Catch all/Anything else,Miscellaneous,,63,,0.44,,,,,,,
14397,,,Which of our priority groups does the work you are asking,Catch all/Anything else,Miscellaneous,,63,,0.44,,,,,,,
14339,,,Have you previously spoken with a specific Foundation staff member regarding this submission,Catch all/Anything else,Miscellaneous,,23,,0.44,,,,,,,
14338,,,"HAVE YOU PREVIOUSLY SPOKEN WITH A SPECIFIC FOUNDATION STAFF MEMBER REGARDING THIS SUBMISSION? IF SO, PLEASE INDICATE THEIR NAME",Catch all/Anything else,Miscellaneous,,23,,0.44,,,,,,,
14399,,,"What organizations are collaborating on this project, and what would be their role?",Partnership and Community,Collaborative Partnerships and Community Support,,65,,0.44,"Provide the following information on current/prospective collaborations and counterparts:
*Currently collaborating organizations/their role
*Organizations you would like to collaborate with
*Your most important partnerships (and the reason for this importance)
*Who else is currently involved in similar work
*What organizations you identify as doing great work
*Targeted group/community involvement (if any) in project planning, leading, and decision-making",,,,,,
14400,,,"List the organizations you would like to collaborate with, if any",Partnership and Community,Collaborative Partnerships and Community Support,,65,,0.44,,,,,,,
14404,Partnership,,Describe your most important partnerships. Why are they important to your work? What other partnerships or connections would enhance your work?,Partnership and Community,Collaborative Partnerships and Community Support,,69,,0.44,,,,,,,
14405,,,YOUR PARTNERS | WHAT (NON-FUNDING) ORGANIZATIONS/COALITIONS DO YOU CONSIDER YOUR MOST CRITICAL PARTNERS IN YOUR WORK TO ADVANCE SYSTEMS CHANGE AND WHAT ROLE DO THEY PLAY?,Partnership and Community,Collaborative Partnerships and Community Support,,69,,0.44,,,,,,,
14406,,,"YOU
CONSIDER YOUR MOST CRITICAL PARTNERS IN YOUR WORK TO ADVANCE SYSTEMS
CHANGE AND WHAT ROLE DO THEY PLAY",Partnership and Community,Collaborative Partnerships and Community Support,,69,,0.44,,,,,,,
14464,,,Who else is doing what you do,Partnership and Community,Collaborative Partnerships and Community Support,,117,,0.44,,,,,,,
14465,,,Who else is doing great work,Partnership and Community,Collaborative Partnerships and Community Support,,117,,0.44,,,,,,,
14550,Community Involvement and Collaboration:,,"How were the communities you are planning to impact involved in the planning, leading and decision making of this particular program/project?

Will the organization collaborate with other organizations on this program/project? (If so, with whom and how)?",Partnership and Community,Collaborative Partnerships and Community Support,,168,,0.44,,,,,,,
14551,,,"WHO IS INVOLVED IN YOUR PROJECT? HOW WERE THE COMMUNITIES YOU ARE PLANNING TO IMPACT INVOLVED IN THE PLANNING, LEADING AND DECISION MAKING OF THIS PROJECT? BRIEFLY DESCRIBE PROJECT LEADERS AND THE ROLE THAT EACH WILL PLAY IN THE PROJECT. IF YOUR PROJECT INVOLVES PARTNERSHIPS WITH OTHER ORGANIZATIONS, HAVE THE PROPOSED PARTNERS AGREED TO PARTICIPATE",Partnership and Community,Collaborative Partnerships and Community Support,,168,,0.44,,,,,,,
16823,,,Collaboration List,Partnership and Community,Collaborative Partnerships and Community Support,,1422,,0.44,&&&,,,,,,
14661,,,"Provide three (3) key organizations that you collaborate with to
  accomplish your goals for the community",Partnership and Community,Collaborative Partnerships and Community Support,,221,,0.44,&&&,,,,,,
14662,,,"Provide three (3) key organizations that you collaborate with to accomplish your goals for the
community",Partnership and Community,Collaborative Partnerships and Community Support,,221,,0.44,&&&,,,,,,
15130,,,"Describe your organization's substantial collaborations and/or
    partnerships with other entities in your field or geographic area
    related to the project goals, objectives, and activities",Partnership and Community,Collaborative Partnerships and Community Support,,511,,0.44,&&&,,,,,,
15206,,,"Are you collaborating with other organizations on

this project",Partnership and Community,Collaborative Partnerships and Community Support,,559,,0.44,&&&,,,,,,
15321,,,Is this request a collaborative effort,Partnership and Community,Collaborative Partnerships and Community Support,,628,,0.44,&&&,,,,,,
15323,,,Is this a collaborative project,Partnership and Community,Collaborative Partnerships and Community Support,,628,,0.44,&&&,,,,,,
15329,,,"Will the organization collaborate with
other organizations on this program/project",Partnership and Community,Collaborative Partnerships and Community Support,,632,,0.44,&&&,,,,,,
15366,,,"If the requested grant dollars will contribute to collaborative
    work, describe your organization's substantial collaborations and/or
    partnerships",Partnership and Community,Collaborative Partnerships and Community Support,,654,,0.44,&&&,,,,,,
16355,,,COLLABORATIVE PARTNERS,Partnership and Community,Collaborative Partnerships and Community Support,,1220,,0.44,&&&,,,,,,
16357,,,Collaborative Efforts,Partnership and Community,Collaborative Partnerships and Community Support,,1221,,0.44,&&&,,,,,,
14418,,Enter mission here,Please share with us the mission or key activities of your  organization.,What You Do,What the Organization Does,,80,,0.44,"Explain the mission and key activities of your organization. Also share information on the following:
*The history of the organization, including a brief description of significant accomplishments or milestones within the past five years
*Project focus area
*Anticipated/hoped for impact areas
*Current methods of measuring impact
*Description of impact for the population, beneficiaries served, the commissioning organization, and artists involved
*The number of individuals expected to be impacted/engaged with via the project 
*Key Activities that support your mission
*Completed activities addressing the described issue in the past 12 months
*Top three outcomes/accomplishments from the past 12 months
*Activities planned for the next 12 months, along with which activities will be supported by the requested grant
*How the associated community will look different when the work is done (if applicable)",,,,,,
14416,,,What activities have you already done in the past 12-months to address the issue described in this application,What You Do,What the Organization Does,,79,,0.44,,,,,,,
14417,,,"What activities do you have planned for the next 12-months, and which of those activities will a grant from <REDACTED> allow you to carry out",What You Do,What the Organization Does,,79,,0.44,,,,,,,
14419,,"Choose the Key Activities that support your mission. Our key activities include service to American Indians or to the poor, Our key focus is on children and families, We work primarily in <REDACTED>",Choose the Key Activities that support your mission.,What You Do,What the Organization Does,,80,,0.44,,,,,,,
14428,,,What were your organization’s top 3 outcomes or accomplishments in the previous 12 months,What You Do,What the Organization Does,,89,,0.44,,,,,,,
14429,RESULTS DESCRIPTION PLEASE COMPLETE THIS SECTION TO EXPLAIN THE EXPECTED IMPACT OF YOUR INITIATIVE AND HOW YOU WILL TRACK SUCCESS.,,"-   * What have you achieved in the past three years that contributes to
    your organization’s success and explain why a grant for this
    project/program will produce results for those served?",What You Do,What the Organization Does,,89,,0.44,,,,,,,
14457,,,What impact are you driving? How is this achieved,What You Do,What the Organization Does,,112,,0.44,,,,,,,
14458,,,What impact will you have,What You Do,What the Organization Does,,112,,0.44,,,,,,,
14459,,,What are your impact areas,What You Do,What the Organization Does,,112,,0.44,,,,,,,
14467,,,What difference does your work make to your beneficiaries,What You Do,What the Organization Does,,118,,0.44,,,,,,,
14508,CLIENT FOCUS,,"-   * How many individuals do you plan to impact or engage with the
    project? 

-   * Please choose the focus area of your project. 

-   * If this grant supports a particular ethnic group, please select
    the primary ethnic group served. If not, select _""Not
    ethnicity specific""._",What You Do,What the Organization Does,,146,,0.44,,,,,,,
14509,,,"How many individuals do you plan to impact or engage with the
    project",What You Do,What the Organization Does,,146,,0.44,,,,,,,
14548,,,"PLEASE DESCRIBE HOW YOU WILL EVALUATE THE PROJECT’S IMPACT ON THE
COMMISSIONING ORGANIZATION, THE ARTIST(S), AND THE COMMUNITIES ENGAGED","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,167,,0.44,,,,,,,
14554,Organizational Impact,,"Describe the changes in group behavior or community conditions that
  your organization hopes to achieve over time.

How does your organization currently measure impact?",What You Do,What the Organization Does,,169,,0.44,,,,,,,
14559,,,"Describe your organization, including its mission, history,
      community partners and support, the population it serves, and the
      size and demographics of board and staff",Biographical and Organizational info,Organizational Biographical and General Information,,171,,0.44,,,,,,,
14562,,,"Please tell us how your community will look different as a result of the work you are doing. How are your
efforts specifically responsible for this important change",What You Do,What the Organization Does,,173,,0.44,,,,,,,
14575,,"For example, when it was created, why it came to be, who are its members, how it works to achieve its mission.",Please tell us about the history of your organisation.,Biographical and Organizational info,Organizational Biographical and General Information,,181,,0.44,,,,,,,
14576,2. BACKGROUND AND VISION,,"b. Please tell us about the history of your organisation. (_When it was created, why it came to be, who are its members, how it works to achieve its mission._)",Biographical and Organizational info,Organizational Biographical and General Information,,181,,0.44,,,,,,,
14633,,,Please Summarize Your Organization’s Background and History,Biographical and Organizational info,Organizational Biographical and General Information,,210,,0.44,,,,,,,
14634,Organization History,,Summarize the Organization's history.,Biographical and Organizational info,Organizational Biographical and General Information,,210,,0.44,,,,,,,
14635,,,Brief Summary of Organization's History (from Organization card),Biographical and Organizational info,Organizational Biographical and General Information,,210,,0.44,,,,,,,
14636,,,PROVIDE A BRIEF ORGANIZATION DESCRIPTION AND HISTORY,Biographical and Organizational info,Organizational Biographical and General Information,,210,,0.44,,,,,,,
14638,"History, Mission and Current Programs",,"Briefly describe the organization's history, mission, and goals, purpose, and current programs.",Biographical and Organizational info,Organizational Biographical and General Information,,211,,0.44,,,,,,,
14641,,,Your organization's purpose and history,Biographical and Organizational info,Organizational Biographical and General Information,,213,,0.44,,,,,,,
14666,,,"Provide a brief summary of your organization's history, including
    brief description of recent significant accomplishments or
    milestones (within the last five years)",Biographical and Organizational info,Organizational Biographical and General Information,,225,,0.44,,,,,,,
17852,,,ORGANIZATION HISTORY,Biographical and Organizational info,Organizational Biographical and General Information,,1817,,0.44,,,,,,,
17854,,,Organizational History,Biographical and Organizational info,Organizational Biographical and General Information,,1817,,0.44,,,,,,,
17855,,,History Of Organization,Biographical and Organizational info,Organizational Biographical and General Information,,1817,,0.44,,,,,,,
17853,,,Age of Organization,Biographical and Organizational info,Organizational Biographical and General Information,,1817,,0.44,&&&,,,,,,
17833,,,Organisation Background and Aims,What You Do,What the Organization Does,,1811,,0.44,&&&,,,,,,
17834,,,Organisation background and aims,What You Do,What the Organization Does,,1811,,0.44,&&&,,,,,,
17835,,,Organization Background and Goals,What You Do,What the Organization Does,,1811,,0.44,&&&,,,,,,
17864,,,ORGANIZATIONAL BACKGROUND,What You Do,What the Organization Does,,1820,,0.44,&&&,,,,,,
17865,,,Organization Background,What You Do,What the Organization Does,,1820,,0.44,&&&,,,,,,
17866,,,Organizational Background,What You Do,What the Organization Does,,1820,,0.44,&&&,,,,,,
16517,,,"Please Provide the Latest Strategic Plan Including Your Mission, Vision, and Values",What You Do,What the Organization Does,,1312,,0.44,&&&,,,,,,
16537,action plan,,Objectives,What You Do,What the Organization Does,,1320,,0.44,&&&,,,,,,
16538,Project Impact/ Work Plan,,Objective,What You Do,What the Organization Does,,1320,,0.44,&&&,,,,,,
16539,,"What is this project trying to achieve in the next _one to three_ years? _Examples: X level of water quality; Z square miles of habitat protection; a bill is passed by voters; behavior change, such as people will eat less blue fin tuna; policy change, such as mountaintop removal mining will be banned _",OBJECTIVES:,What You Do,What the Organization Does,,1320,,0.44,&&&,,,,,,
16540,,,Long Term Project Goals,What You Do,What the Organization Does,,1321,,0.44,&&&,,,,,,
15221,,,What do you hope to achieve during the grant period,What You Do,What the Organization Does,,569,,0.44,&&&,,,,,,
15138,,,PLEASE DESCRIBE YOUR PROJECT FOR WHICH YOU ARE SEEKING FUNDING. WHAT IS THE _ISSUE OR NEED_ THE GRANT REQUEST WILL HELP TO ADDRESS? HOW WILL YOUR PROJECT ADDRESS THE IDENTIFIED ISSUE/NEED? WHAT ARE YOUR GOALS? WHAT SPECIFIC ACTIVITIES WILL BE CONDUCTED TO ACHIEVE THESE GOALS? WHAT IS THE TIME OR TIME-FRAME FOR ACTIVITIES,What You Do,What the Organization Does,,515,,0.44,&&&,,,,,,
15123,,,"DESCRIBE THE PROJECT'S GOALS. IN ADDITION, IF YOU ARE APPLYING TO RENEW
A GRANT, PLEASE DESCRIBE THE PROGRESS ON YOUR PRIOR GRANT WITH A SUMMARY
OF THE OUTCOMES AND/OR IMPACT OF THE PRIOR GRANT TO DATE",What You Do,What the Organization Does,,508,,0.44,&&&,,,,,,
15222,GOALS AND OBJECTIVES,,What do you hope to achieve during the grant period? The Fund is interested in both your big-picture goals and the specific results you anticipate.,What You Do,What the Organization Does,,569,,0.44,&&&,,,,,,
16541,,,Long-Term Objectives,What You Do,What the Organization Does,,1321,,0.44,&&&,,,,,,
16542,,,Short-Term Objectives,What You Do,What the Organization Does,,1321,,0.44,&&&,,,,,,
16543,,,Goals and Objectives for the Year,What You Do,What the Organization Does,,1322,,0.44,&&&,,,,,,
16544,,,Project Goals and Objectives,What You Do,What the Organization Does,,1322,,0.44,&&&,,,,,,
14618,,,"HOW WOULD THIS PROJECT ENHANCE YOUR ORGANIZATION'S ABILITY TO FULFILL
  ITS MISSION",What You Do,What the Organization Does,,202,,0.44,&&&,,,,,,
14637,,,"ORGANIZATION DESCRIPTION: PLEASE DESCRIBE YOUR ORGANIZATION’S MISSION, KEY PROGRAMS AND RECENT ACHIEVEMENTS",What You Do,What the Organization Does,,211,,0.44,&&&,,,,,,
14640,,,A brief summary of your organisation's aims and activities,What You Do,What the Organization Does,,213,,0.44,&&&,,,,,,
14642,,,Provide your organization mission and vision statement,What You Do,What the Organization Does,,214,,0.44,&&&,,,,,,
14643,EXECUTIVE SUMMARY,,"PROVIDE A BRIEF SUMMARY OF YOUR ORGANIZATION’S MISSION AND VISION, AREAS OF FOCUS, STRATEGIC PLAN, AND FINANCIAL HEALTH.",What You Do,What the Organization Does,,214,,0.44,&&&,,,,,,
14644,,,What are the annual goals for your organization,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14645,,,Describe Your Organization’s Mission,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14646,,,What is the mission of your organisation,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14647,,,What is your organization/group's mission,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14648,,,What is your organization's mission,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14649,,,What is your organization’s mission,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
14650,,,WHAT IS YOUR ORGANIZATION'S MISSION STATEMENT,What You Do,What the Organization Does,,215,,0.44,&&&,,,,,,
17845,"ORGANIZATION INFORMATION Please review your organization information below, including key contact information, mission and vision, and other noted items. If any updates need to be made, click on 'Organizations' in the left-hand side navigation bar to access your organization profile and make changes there.",,Organization,What You Do,What the Organization Does,,1814,,0.44,&&&,,,,,,
15131,GOVERNANCE & MANAGEMENT Governance,,"* Describe the Board's involvement in supporting the project, including its role in securing additional funding or resources.
 * Please expand on the proposed project's level of alignment with your organization, its mission, and/or strategic plan (if applicable).",What You Do,What the Organization Does,,512,,0.44,&&&,,,,,,
15100,,,"Please provide a brief description as to how you engage volunteers
    to further your mission",Partnership and Community,Collaborative Partnerships and Community Support,,491,,0.44,&&&,,,,,,
15047,,,How Will This Project Impact/Improve Your Mission,What You Do,What the Organization Does,,459,,0.44,&&&,,,,,,
16453,,,Applicant Background and Mission,What You Do,What the Organization Does,,1283,,0.44,&&&,,,,,,
16454,Project Narrative,,Mission of Applicant,What You Do,What the Organization Does,,1283,,0.44,&&&,,,,,,
16456,,,Organization Mission,What You Do,What the Organization Does,,1285,,0.44,&&&,,,,,,
