left_context,question,right_context,identifier
RACE & ETHNICITY​ IDENTITIES,"How many of your executive team members publicly self-identify as (select all that apply for each team member, using numbers to indicate how many executives identify in each category):

-   Asian/Asian Americans

-   Black/African American/African

-   Hispanic/Latino/Latina/Latinx

-   Native American or Alaska Native, and who maintains tribal
    affiliation or community attachment

-   Native Hawaiian or Other Pacific Islanders

-   White/Caucasian

-   Prefer Not to Answer

-   Prefer to Self-Describe (field provided below)

If you chose “Prefer to Self-Describe”, please use this field to do so.",,12190
ARE YOU THE ORGANIZATIONAL LEADER OF YOUR ORGANIZATION? [No],Organizational Leader First Name,,3621
,"You have the option to supplement the information provided in your
application by making and submitting a brief video (maximum 60 seconds) in which you introduce yourself and describe your initiative. You can also use the video to answer the optional question, ""Is there any other information not captured elsewhere regarding your organization, initiative, community served, or anything else that you believe will help in our evaluation of your request?","Reviewers will review the videos for content, not for production value. To be clear, this video is not expected to be of professional quality; we prefer seeing a new video made on a smartphone versus a higher quality video made for another purpose. Please either insert a URL address from YouTube or Vimeo or upload the video here.",12134
GENDER,"How many of your board of directors / advisory board publicly
self-identify as (select all that apply for each board member, using
numbers to indicate how many board members identify in each category):

-   Female  

-   Male  

-   Non-binary  

-   Prefer Not to Answer

-   Prefer to Self-Describe

If any of your board members chose to self-describe, please use this
field to do so.",,12211
,"IF APPLICABLE, PLEASE PROVIDE A BRIEF EXPLANATION FURTHER DESCRIBING HOW YOUR LEADERSHIP TEAM AND STAFF REFLECT THE COMMUNITIES YOU SERVE, AND IN PARTICULAR BRING LIVED EXPERIENCE FROM IMMIGRANT AND REFUGEE COMMUNITIES AND COMMUNITIES OF COLOR.",,3601
PROJECT INFORMATION,"How does your organization include and focus on cis women, trans women, and/or non-binary people?",,9710
"We must know that any grant from the <REDACTED> would be directed only at <REDACTED> residents from verifiably low-income households. That means households dependent on out of work benefits or in receipt of tax credits or with no recourse to public funds. If <REDACTED> is funding X% of a project or service, then that same X% of the beneficiaries of the project or service must meet <REDACTED> criteria: low income <REDACTED> residents.",How would you verify low income status?,,8910
"Under General Data Protection Regulations (GDPR), your email address is considered personal data. Are you willing to give consent to the following (both are optional):","<REDACTED> to share <REDACTED> related non-grant information with you (e.g. <REDACTED> e- newsletter, details on training etc)",,8970
"If your organization has its financial statements audited or reviewed by an outside firm, please upload the most recent review or audit here.",Audited or Reviewed Financial Statements,,3472
Overview,"If applicable, what has been the impact of your partnership with <REDACTED> over the years? (e.g. organization growth, program growth, personal growth as a leader)",,10191
The Track Record,How has the solution(s) identified in your project been tested previously (whether by your organization or someone else)?,,10213
Project Details,"How does this project more broadly serve the needs of the church?  What are some of those needs, and what are 2-3 anticipated outcomes tied to furthering God’s Kingdom?",,10198
QUESTIONS FOR THE COMMISSIONING ORGANIZATION,WHAT PRIOR EXPERIENCE OF COMMISSIONING ARTISTS WILL THE ORGANIZATION DRAW UPON FOR THIS COLLABORATION?,,3111
PROPOSAL QUESTIONS,"WHY IS THIS PROJECT IMPORTANT AT THIS SPECIFIC MOMENT FOR THE COMMISSIONING INSTITUTION, THE ARTIST(S), THE COMMUNITIES ENGAGED, AND THE PLACE/LOCATION IN WHICH THE PRODUCTION AND PRESENTATION WILL TAKE PLACE?",,3133
DEMOGRAPHIC DATA,"ORGANIZATIONAL EXPENSES AND INCOME FOR PREVIOUS, CURRENT, AND COMING
FISCAL YEAR",,3152
ARE PARTNERSHIPS NEEDED FOR THE PROPOSED WORK?,"IF PARTNERSHIPS ARE NEEDED, DESCRIBE THE PARTNERSHIPS YOU HAVE ESTABLISHED OR PLAN TO ESTABLISH, AND WHAT WORK THEY ARE CONTRIBUTING.",,14387
,FUNDING REQUEST AREA,Must be an open funding area,14321
Project Narrative,"What are your specific goals, and what are your strategies to reach those goals?",,687
ORGANISATION DETAILS,"8.  Organisation Type:

    a.  UK Registered Charity

    b.  CIC

    c.  Company Limited by Guarantee

    d.  Not for Profit

    e.  Other",,2748
PROGRAM FUNDING REQUEST,"For organizational development/capacity building/capital support, describe how the project will address organizational challenges and/or needs.",,14943
,"Please provide narrative for your organization's previous year financials, current year financials and multi-year financial plan (if requesting multi-year support).","This can include how your organization approaches financial health and resiliency (i.e., maintain operating reserves, budget for surpluses, engage in multi-year planning, etc.)",12566
,Requested budget period,,11072
,Zip or Postal Code,,10893
,"With regard to the work that would be supported under this grant: to your knowledge, do you receive financial or in-kind support from any individuals or organizations which, as a material part of their activities, manufacture, distribute, or sell alcohol, tobacco, cannabis, firearms products of any kind, or foods of minimal nutritional value?",,11018
,Name of Project Director/Principal Investigator,,11193
FINANCES,Current Annual Operating Budget with Actuals Year to Date,Please attach your organization's current annual operating budget including a YTD Actuals column. Be sure to include both income and expense sides of the budget.,8311
Equity,"How does your work promote diversity and address inequality, oppression and discrimination within your organization as well as the larger society?",,8282
,"What percentage of people does your organization serve who live in a  rural community? (Rural defined as outside of the following cities:<REDACTED>, <REDACTED>, <REDACTED>, and <REDACTED>) Please enter percentage to the closest 5%",,11273
,Please share with us the mission or key activities of your  organization.,Enter mission here,11263
PEOPLE SERVED,"CATEGORIES                                     % OF POPULATION SERVED
  ------------------------------------------------ ------------------------
    Prenatal                                                                                   0%
    Children ages 0-4                                                              100%
    Children ages 5-18                                                            0%
    Parents and caregivers of children ages 0-18   0%
    Other                                                                                         0%
    Total                                                                                           100%",,11257
Organization budget,Dates: From and To,,15100
,How does your organization strive to be inclusive?,,15063
,Describe the specific activities for which you seek funding and who will carry out the activities.,,631
,Describe your evaluation plan. What impact will you have? How will you measure? Who will be involved?,,637
LINKS TO ARTISTS’ WEBSITES AND/OR RESUMES (PROVIDE 3–5),"You may upload 3–5 resumes, provide links to 3–5 artists' websites","(in the text field below), or do some combination thereof. Provide either resumes or links for 3–5 total artists.",13683
,ARE YOU APPLYING THROUGH A FISCAL SPONSOR?,,13595
,"Briefly describe what the amount requested will fund in the proposed budget.

- Total Project Costs
- What percent of the organization's board members participate in giving annually?",,14477
Revenue Data,"List all the ""other"" revenue sources - both pending and committed: expenditure summary",,14491
Background Information,Number of Part-Time Staff,,10293
General Information,Organization Legal Name,,10282
Project Impact/ Work Plan,Year (of impact),,14208
,Who does the project serve if it is a specific group from your larger community or a group outside of your community?,,14250
Availability of government funding sources,"If you are a school or government agency, please explain why funding is not available via government sources.",,479
AMOUNT REQUESTED,"IF YES: If yes, when and how much?",,9337
,Annual Organization Budget,,10235
,Office applying to,,7653
ORGANIZATION PROFILE,Organizational biography,,7649
GENERAL INFORMATION,Provide your Federal Tax ID,,1
FUNDING AND SUPPORT,Funds Received or Committed:,,40
,"If expenses exceeded revenues, please explain how difference will be offset. Accompanying one-page narrative welcome if additional explanation is warranted.",,95
,"If you have received funding from this program recently, what has your organization done to increase program efficiency or to enhance outcomes in recent years?",,14162
ORGANIZATION INFORMATION Please detail the organization's current address and contact information below. This information will be used to create or update our grant record system.,Organization phone,,14074
,"Use the following percentage fields to describe the race and ethnicity composition of your organization's current Board of Directors:

  * American Indian or Alaska Native

  * Asian

  * Black or African American

  * Hispanic or Latino

  * Native Hawaiian or Other Pacific Islander

  * White, non-Hispanic

  * Other",,14120
,Attach a copy of your organization's official notice of tax-exempt status from the IRS,,14091
,What services or programs were provided?  What were you able to accomplish with this award that you otherwise would not have been able to?,,14113
PROJECTED INCOME,Indicate whether dollars are requested or committed using the dropdown list,,14182
,"For <REDACTED> purposes, please confirm that you will make available the funded developments and any Background Technology that is (a) owned, controlled, or developed by you, or in-licensed with the right to sublicense; and (b) either incorporated into a funded development or reasonably required to use the funded development. For more information, see the <REDACTED> terms located in the foundation’s standard grant terms and conditions.",,7231
"For U.S. Programs (USP), Global Policy & Advocacy (GPA), Community Engagement related grants, include the following question: - Does the project involve regulated human subject research?","If yes, please identify the name of the entity that will be conducting such research and please describe any consents, approvals or waivers needed or obtained to the extent such are necessary for compliance with applicable law.",,7319
,"If you listed any TBD locations or locations that are not
country-specific, and/or locations that are subject to U.S.
government sanctions or believe that project work could reasonably
occur in a location that is subject to U.S. government sanctions,
please review the guidance in the Office of Foreign Assets
Control (OFAC) Guidelines and confirm that: 

(a) you have discussed the location of work with your foundation contact, and 
(b) your organization will ensure compliance throughout the term of the project with the anti-terrorism clause in our grant agreement.",,7451
,"How have your projections for the remaining periods changed compared to your previous projections (from your most recent progress report, or original proposal if this is the first report) and why?","Please discuss any project adjustments and shifts in scope, assumptions, timing, decisions etc. which will affect spending. If you had previous discussions with the foundation on changes, please mention.",7399
,"If not already addressed in your answers above, please provide additional explanations on subaward spending below. In particular, for subawards that are large or where actual and projected spending are significantly different from prior projections, please explain.",The foundation may request updated budget files for large subawards.,7429
"Does the project involve any of the following: clinical trial, other trial involving human subjects, post-approval study, experimental medicine, field trial of genetically modified organisms, or the provision of medical/health services?","If yes, please list all approvals and consents required for each site and describe the time frame in which your organization will acquire the necessary approvals and consents.",,7318
QUESTIONS ABOUT YOUR PLAN,Please tell us what outcomes you hope your project will achieve in the next 2-years and how you assess whether you are achieving your goals.,,14036
,Please tell us about the non-financial resources which may be available to you and how you have made use of them or plan to make use of them in carrying out this work.,,14059
,In which county will your organization provide the bulk of its services related to this request?,,11339
,What is the CURRENT GuideStar Exchange participant level for your organization?,,11350
Evaluation methods for each program objective.,"What information you will collect to monitor your progress in reaching the objective. From whom you will collect the information and how often. How you will collect it (survey, interview, test, etc.).",,11378
,Country/Countries where the work of this application will be carried out,,12297
Project Description,Is this a renewal request?,,9548
,"If your organization has a core ensemble of artists, percentage who identify as BIPOC",,9635
,WHAT DATE DOES YOUR ORGANIZATION'S FISCAL YEAR END?,,212
,"What organizations are collaborating on this project, and what would be their role?",,183
Contact Information,E-mail,,7021
,Do you anticipate ending the fiscal year with a deficit or a surplus?,,7024
,What is the program area that best applies to this proposal (check one),,11532
TOTAL AGENCY BUDGET FOR _CURRENT_ FISCAL YEAR,NAME OF AGENCY,,11597
REVENUE/SUPPORT BUDGET FOR YEAR ACTUAL YEAR–TO-DATE,Government grants and contracts,,11577
About you What was the charity set up to do?,At which location(s)?,,11434
Finances,"Last Financial Year
Financial year-end? (DD/MM/YYYY)
Income 
Expenditure 
Restricted reserves 
Unrestricted reserves",,11397
,Which of our priority groups does the work you are asking us to fund focus on?,,11472
,"Priorities Addressed by Project (Select Primary)

1.  General operating support for nonprofits for urgent needs of vulnerable populations impacted by COVID.

2.  Cost share for projects intended to create behavioral change associated with combating racism, and advancing diversity, equity and inclusion.

3.  Advancement of creative activities or strategies to address workforce shortages and/or re-training by those displaced by the pandemic.

4.  Support for strategic planning, fund development, board training or other capacity building initiatives for nonprofits that advance economic security for vulnerable households and financially disadvantaged people.

5.  Projects responding to the COVID pandemic in one of our region’s three communities which are home to large meat processing host facilities <REDACTED>.

6.  Support for local and regional community and economic development entities advancing early-stage feasibility or pilot projects.",,3980
,How does this project fit within our funding priorities,,4024
,Total Amount Requested,,4037
,Description of proposed program / project,,4032
,Project Outcomes,,4039
,All Counties Served,,4006
,County Served,,3987
,Contact phone number,,4910
,Who else is doing what you do,,4919
,Contact person,,4909
,What impact are you driving? How is this achieved,,4918
,Does your board include people from underrepresented groups,,4915
,Is your CEO or Executive Director from an underrepresented group,,4913
,Does your senior leadership team include people from underrepresented groups,,4914
,Describe your work and how it connects to the goals of <REDACTED> Nonprofit Technology Initiative,,4916
,Number of staff,,4907
,What sector(s) does your organization work in,,4912
,Who do you serve? Who needs your product or service and why,,4917
,Where are you primarily located? Is your work local or does it extend nationally/globally,,4908
,Contact email,,4911
,Annual budget (USD),,4906
,What geographic locations benefit/will benefit from your work,,4920
,"OVERVIEW OF ORGANIZATION’S ANNUAL GOALS: WHAT PART OF THE OVERALL CHALLENGE, OPPORTUNITY, ISSUE OR NEED IDENTIFIED ABOVE WILL YOU DURING THE FIRST 12 MONTHS OF THE GRANT? WHAT ACTIVITIES DO YOU PLAN TO PURSUE OR CARRY OUT",,3548
"PLEASE FURTHER DESCRIBE THE SPECIFIC POPULATION YOUR ORGANIZATION INTENDS TO REACH. We acknowledge the above dropdowns may not accurately represent your population served, please use this space to provide more information on the population and community you serve.",Narrative,,11933
,Board Chair,,3529
,IMPACT: WHAT OUTCOMES WOULD CONSTITUTE SUCCESS AT THE END OF THE FIRST 12-MONTH INSTALLMENT,,3550
,Organizational Operating Budget-,,3565
,PROJECT INFORMATION,,11917
,PRIMARY POPULATION,,3540
,"CHALLENGES: PLEASE SHARE POTENTIAL CHALLENGES THAT COULD ARISE THAT IMPACT YOUR TIMELINE, SUCCESS, SCALE, OR KEY ACTIVITIES. HOW WILL YOU ADAPT TO THESE CHALLENGES",,3557
,"ORGANIZATION DEMOGRAPHICS: HOW ARE THE DEMOGRAPHICS AND LIVED EXPERIENCE OF THE COMMUNITY YOU SERVE REFLECTED IN THE COMPOSITION OF YOUR BOARD, STAFF AND VOLUNTEERS? PLEASE ALSO DESCRIBE ANY DIVERSITY, EQUITY AND INCLUSION (DEI) PRACTICES, PROGRAMS, OR INITIATIVES IN WHICH YOUR ORGANIZATION IS CURRENTLY ENGAGED",,3519
,WOULD YOU LIKE THE FOUNDATION TO SHARE YOUR APPLICATION WITH OTHER POTENTIAL DONORS,,3561
,"If your organization is fiscally sponsored, please provide a fiscal sponsor letter/agreement",,3567
,"WHAT CHALLENGE, OPPORTUNITY, ISSUE OR NEED DOES YOUR ORGANIZATION SEEK TO ADDRESS? Discuss the overall scale of the challenge/opportunity/issue/need that you're planning to address",,3545
,EIN NUMBER,,3506
,ORGANIZATION WEBSITE,,3515
,PLEASE FURTHER DESCRIBE THE SPECIFIC POPULATION YOUR ORGANIZATION INTENDS TO REACH,,3542
,"CITY, STATE, ZIP CODE",,3514
,"HAVE YOU PREVIOUSLY SPOKEN WITH A SPECIFIC FOUNDATION STAFF MEMBER REGARDING THIS SUBMISSION? IF SO, PLEASE INDICATE THEIR NAME",,3530
,Demographics Form- Please attach the demographic form,,11954
,"ORGANIZATION DESCRIPTION: PLEASE DESCRIBE YOUR ORGANIZATION’S MISSION, KEY PROGRAMS AND RECENT ACHIEVEMENTS",,3517
,Grant Request Contact,,3528
,Optional attachment-,,11959
,ORGANIZATION PRIMARY PHONE NUMBER,,3516
,Actual Total Revenue Amount for last completed fiscal year,,3521
,Primary Age Group to be Served,,3537
,Demographics Form-,,3563
,"MEASUREMENT/EVALUATION: HOW HAVE YOU OR WILL YOU ASSESS HOW WELL THE WORK IS GOING, AND HOW WILL INCORPORATE EVALUATION LEARNINGS INTO YOUR FUTURE WORK",,3553
,Head of Organization,,3527
,"IS THERE ANY OTHER INFORMATION NOT CAPTURED ELSEWHERE REGARDING YOUR ORGANIZATION, PROJECT, PROGRAM, OR COMMUNITY SERVED THAT YOU BELIEVE WILL HELP <REDACTED> STAFF IN THEIR EVALUATION OF YOUR REQUEST",,3559
,ORGANIZATION STREET ADDRESS,,3513
,"AND HOW HAS COVID-19 IMPACTED, EXACERBATED OR CREATED THIS CHALLENGE FOR YOUR COMMUNITY SERVED OR WITHIN YOUR PROGRAMMATIC WORK",,3546
,"PARTNERS: WHAT PARTNERS, SUCH AS ORGANIZATIONS, INDIVIDUALS, AND COALITIONS, ARE CORE TO YOUR WORK",,11946
,AGE GROUP (S) TO BE SERVED BY THIS GRANT,,3535
,Projected Total Revenue for current fiscal year,,3523
,GEOGRAPHIC AREA (S) SERVED,,3532
,ORGANIZATIONAL BUDGET NARRATIVE,,3525
"Please select the appropriate code for your organization from the dropdown below (if your organization files an IRS Form 990, your NTEE code will be listed on the cover sheet)",NTEE CODE,,3508
,please feel free to include ONE additional attachment of your choice if you feel it will be helpful in the evaluation of your application,,3568
,please use this space to provide more information on the population and community you serve,,3543
,American Indian or Native American,,1894
,NAME,,7734
,Are you Native Hawaiian or Pacific Islander?,,1902
,Are you White (Caucasian/European),,1904
ORGANIZATION INFORMATION,Is the above accurate?,,1864
,Total number of senior leaders in the organization,,1890
,Number of senior leaders by race/ethnicity,,1892
,Head of organization name,,1870
,Head of organization title,,1871
,Organization address,,1867
,"Where will the work take place, and where will it have the most impact (geographic locations)",,1958
,What age groups will be served by this grant,,1947
,Select one option,,1968
,"Which of the Racial and Economic Justice guidelines aligns most with the proposed work?

-   _Sustain or strengthen the core operations of the organization_

-   _Advance structural and systems change through policy advocacy, organizing, and movement building._
                                                                                                               
 -   _Invest in economic systems and practices that build wealth and stabilize communities._
                                                                                                               
 -   _Advance narrative strategies focused on racial and economic justice._",,1971
,Head of organization email,,1872
Current Application Status,Date Completed,,7738
,Number of senior leaders by age,,1924
,Organization phone number,,1869
ORGANIZATION INFORMATION Is the above accurate? [No],Update Information,,1889
,Which race or ethnic populations will be primarily served by this grant,,1933
,Are you Hispanic or Latinx,,1900
,Please provide an overview or summary of your proposed work,,1976
,Are you using a fiscal agent,,1878
Learning and Sharing Current Application Status,Current Status,,7735
,Number of senior leaders by gender,,1913
,Number of senior leaders by age,,1927
,Type of organization,,1873
Current Application Status,Type,,7739
,"Fiscal agent name, address, and EIN",,1880
Is this request a collaborative effort? [Yes],Please submit a list of partners and roles using the template available on the main details page.,,7852
,Title of the Application,,1854
,Contact person email,,1883
,Please describe your organization or project goals,,1978
,What is your approach to addressing barriers that hold inequities in place,,1987
,How does your approach increase access to opportunities that advance upward mobility? How do you know if you are making a difference,,1985
,"Who will you involve in the work, and how will you continue to ensure you are leveraging their experience(s)",,1981
,How you will share your findings with the <REDACTED> and broader community,,7878
,"How does your approach foster belonging and inclusion? Whose voices are embedded, and how will you ensure this is sustained throughout the implementation of your proposed work",,1983
,"Please describe how you plan to share the results of this work with key stakeholders and the public, if applicable",,1989
,Organization website,,1868
,"Below, please
respond to the principle(s) that are most relevant to your work. If
there are principle(s) that are not applicable, please leave the
response box blank",,7869
,Is this request a collaborative effort,,1962
,Please describe your implementation plan or milestones and timeline,,1979
,Name of contact person for the application,,1881
,Is there anything else you would like us to know as we consider this request,,1991
,Contact person title,,1882
,Which of the Racial and Economic Justice guidelines aligns most with the proposed work,,1966
,Legal name of organization,,1862
,Collaboration List,,1860
,Contact person cell phone,,1885
Number of senior leaders by race/ethnicity,More than one race/ethnicity,,1906
,Amount requested,,1960
,Contact person phone,,1884
,Employer Identification Number,,1863
Number of senior leaders by race/ethnicity.,Identify in another way,,1907
,The Team - Tell us about the team.,,786
,Twitter,,797
,Tell us more about your proposal,,781
Proposal Details,End Date,,792
,Communities Engaged,,1149
"Please list the address where all contributions should be sent. If you have a Fiscal Sponsor, please list your Fiscal Sponsor's address.",Donation Information,,881
Donation Instructions,"Check Donation Addressed To:

Check Donation Memo Line:

Check Street Address:

Check City:

Check State:

Check ZIP:",,883
,Proposal Name,,1106
,FOCUS AREAS,,859
,PROPOSAL CONTACT,,769
,Proposal Scope,,853
,"Please describe what you will use
the funding for",,790
,Please share the primary point of contact for this proposal,,770
PROPOSAL DETAILS,Start Date,,791
,Facebook,,796
,Metro Areas Engaged,,848
,What does the organization hope to accomplish by taking these actions,,784
,"What actions does the organization plan to take to address the issue(s)
or need(s",,783
,Financial Need,,788
,"What is the issue)s) or need)s) that your organization plans to address
with this funding",,782
,States / Territories Engaged,,846
"Specific urgent need categories may be active for limited times. If this proposal suits an urgent need, select the category it fits. Note, this option will have no choices available if there are no current urgent need categories. - None - COVID-19",Urgent Need,,878
,Funding Goal,,793
,Donation Website,,882
,Proposal Description,,779
"Funders can filter proposals on JustFund by strategy, communities engaged, focus areas, and more. Use this section to further describe the specifics of your work.","Strategy (select all that apply):

- Advocacy

- Art

- Base Building

- Capacity Building / Org Development

- Coalition Building

- Communications and Media

- Convening

- Culture

- Direct Action

- Education

- Healing / Restorative Justice

- Leadership Development

- Movement Building

- Organizing

- Policy

- Research

- Social Enterprise

- Voter Registration / GOTV",,798
,Raised Outside of <REDACTED>,,794
,Proposal Summary,,776
Proposal Description What does the organization hope to accomplish by taking these actions?,How can it be scaled up?,,785
,Regions Engaged,,839
,"Please
tell us about the mission of this proposal in a couple of sentences",,778
Please share the primary point of contact for this proposal.,Role/Title,,773
,Participant enrollment fees,,4957
,"Provide any additional information not already captured regarding the primary population to be served by the
proposed grant",,4941
,The organization's current year budget,,13763
,Proposed Grant Start and End Dates,,4922
,"If you are serving as the Lead Organization in a collaborative effort, please list partner(s) here",,4928
"For salary and wages, identify the position, indicate whether the position is full-time or part-time, and include the percentage of the position's time allocated for the project/program Income.",Salary,,13811
,Select which of the following best describes the primary geographic area to be served by your grant request,,4932
,Total Income,,4960
,Individual Donations,,4959
,Earned Income,,4956
,What does success look like for your organization by the end of the grant period,,4944
,"Given the current landscape, how are you structuring your work to meet the challenges? Give some examples of
what that might look like",,4936
,In-kind expenses,,13836
,Income,,4952
,Government Grants,,4955
,Is this a Capital Projects request,,4948
For each income/expense item provide budget details that explain how you arrived at your numbers. Include enough detail in the narrative (200 characters) to clarify unusual items and how the total amount of each budget category was calculated.,"Insurance, benefits",,13820
For each income/expense item provide budget details that explain how you arrived at your numbers. Include enough detail in the narrative (200 characters) to clarify unusual items and how the total amount of each budget category was calculated.,Office Space,,4958
For each income/expense item provide budget details that explain how you arrived at your numbers. Include enough detail in the narrative (200 characters) to clarify unusual items and how the total amount of each budget category was calculated.,Counselor,,4963
,Do you have an active grant with the Foundation,,4930
For each income/expense item provide budget details that explain how you arrived at your numbers. Include enough detail in the narrative (200 characters) to clarify unusual items and how the total amount of each budget category was calculated.a,Supplies,,13829
,Describe current project/program area(s),,13760
Narrative,"Describe the opportunity, challenge, issue or need that your organization is currently facing? Share any supporting data/research/documentation that you think might help us understand what you are working to achieve.",,4934
,Interpreter services,,13821
,client database use fees,,13823
